Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology
T,AMZN,KO,MRO,BAC,PFE,CSX,AAPL
GOOGL,F,KR,KMI,WFC,MRK,GE,AMD
GOOG,GM,PG,XOM,C,GILD,DAL,NVDA
CMCSA,EBAY,WMT,HAL,RF,BMY,AAL,MU
VZ,SBUX,MDLZ,WMB,JPM,BSX,CPRT,MSFT
NFLX,NKE,MO,COP,KEY,ABT,LUV,INTC
DIS,M,MNST,SLB,MS,CVS,FAST,CSCO
IPG,MGM,COTY,DVN,HBAN,ABBV,CAT,HPE
EA,TJX,WBA,CVX,SCHW,JNJ,JCI,ORCL
DISH,TGT,PM,MPC,SYF,MDT,UAL,AMAT
